Term	Freq	Standardized	CUI	SemanticType
ad	175	Alzheimer's Disease	C1521724	unmapped
dementia	136	dementia	C0011265	[mobd]
alzheimer's disease	130	Alzheimer's Disease	C1521724	[patf]
age	128	AGE	C0001779	[orga]
history	76	History	C2004062	[fndg]
mri	71	MRI	C0024485	[diap]
stroke	60	STROKE	C0038454	[dsyn]
schizophrenia	53	Schizophrenia	C0036341	[mobd]
parkinson's disease	47	PARKINSON DISEASE	C0030567	[dsyn]
memantine	44	MEMANTINE	C0025242	"[orch, phsu]"
epilepsy	43	EPILEPSY	C0014544	[dsyn]
cognitive impairment	42	Cognitive Impairment	C0338656	[mobd]
mmse	42	MMSE	C0451306	[diap]
healthy	38	Healthy	C3898900	[qlco]
major depression	38	MAJOR DEPRESSION	C1269683	[mobd]
depression	35	DEPRESSION	C0011570	[mobd]
antidepressants	34	ANTIDEPRESSANTS	C0003289	[phsu]
medications	34	Medications	C2598133	[clna]
mmse score	34	SCORE	C0449820	[qnco]
bipolar disorder	32	Bipolar Disorder	C0005586	[mobd]
ecg	29	ECG NOS	C1623258	[diap]
pregnant	29	Pregnant	C0549206	[fndg]
hypersensitivity	28	Hypersensitivity	C0020517	[patf]
hypertension	28	Hypertension	C1963138	[fndg]
donepezil	27	DONEPEZIL	C0527316	"[orch, phsu]"
cancer	26	Cancer	C1306459	[neop]
cholinesterase inhibitors	26	Cholinesterase Inhibitors	C0008425	"[orch, phsu]"
claustrophobia	26	CLAUSTROPHOBIA	C0008909	[mobd]
contraindication	26	Contraindication	C0522473	[qlco]
mci	26	mCi	C0560005	[qnco]
head trauma	25	HEAD TRAUMA	C0018674	[inpo]
diabetes	24	Diabetes	C0011847	[dsyn]
dose	24	DOSE	C0178602	[qnco]
mri scan	24	MRI scan	C0917711	[qnco]
multiple sclerosis	24	MULTIPLE SCLEROSIS	C0026769	[dsyn]
myocardial infarction	24	Myocardial infarction	C2926063	[clna]
treatment	24	Treatment	C0087111	[topp]
vascular dementia	24	"Dementia, Vascular"	C0011269	[dsyn]
benzodiazepines	23	Benzodiazepines	C0005064	"[orch, phsu]"
seizure disorder	23	SEIZURE DISORDER	C0014544	[dsyn]
agitation	22	AGITATION	C0085631	[sosy]
brain tumor	22	Brain tumour	C0006118	[neop]
cerebrovascular disease	22	CEREBROVASCULAR DISEASE	C0007820	[dsyn]
disease	22	Disease	C0012634	[dsyn]
huntington's disease	22	Huntington's Disease	C2919056	[ftcn]
medical condition	22	Condition	C1705253	[cnce]
nincds-adrda criteria	22	Criteria	C0243161	[inpr]
abnormalities	21	Abnormalities	C0000768	[cgab]
ct	21	CT	C0007673	[geoa]
surgically sterile	21	Sterile	C0232920	[qlco]
contraindications	20	contraindications	C0079164	[qlco]
psychosis	20	Psychosis NOS	C0349204	[mobd]
drug	19	Drug	C0013227	[phsu]
cdr	18	unmapped	unmapped	unmapped
cholinesterase inhibitor	18	Cholinesterase Inhibitor	C0008425	"[orch, phsu]"
investigational drug	18	Investigational Drug	C0013230	[phsu]
post-menopausal	18	post Menopausal	C0232970	[tmco]
cardiovascular disease	17	Cardiovascular Disease	C0007222	[dsyn]
childbearing potential	17	Childbearing Potential	C3831118	[clna]
cognitive decline	17	Cognitive decline	C0338656	[mobd]
condition	17	Condition	C1705253	[cnce]
dsm-iv criteria	17	Criteria	C0243161	[inpr]
galantamine	17	GALANTAMINE	C0016967	"[orch, phsu]"
medical history	17	Medical History	C1704706	[idcn]
medication	17	Medication	C0013227	[phsu]
normal pressure hydrocephalus	17	"HYDROCEPHALUS, NORMAL-PRESSURE"	C0020258	[dsyn]
postmenopausal	17	post Menopausal	C0232970	[tmco]
subdural hematoma	17	Subdural haematoma	C0018946	[patf]
antipsychotics	16	ANTIPSYCHOTICS	C0040615	[phsu]
infection	16	"Infection, NOS"	C0009450	[dsyn]
physical examination	16	PHYSICAL EXAMINATION	C0031809	[hlca]
ages	15	AGE	C0001779	[orga]
allergy	15	Allergy	C0002111	[bmod]
dsm-iv	15	DSM IV	C0220952	[inpr]
