Var1	Freq
ad	175
dementia	136
alzheimer's disease	130
age	128
history	76
mri	71
stroke	60
schizophrenia	53
parkinson's disease	47
memantine	44
epilepsy	43
cognitive impairment	42
mmse	42
healthy	38
major depression	38
depression	35
antidepressants	34
medications	34
mmse score	34
bipolar disorder	32
ecg	29
pregnant	29
hypersensitivity	28
hypertension	28
donepezil	27
cancer	26
cholinesterase inhibitors	26
claustrophobia	26
contraindication	26
mci	26
head trauma	25
diabetes	24
dose	24
mri scan	24
multiple sclerosis	24
myocardial infarction	24
treatment	24
vascular dementia	24
benzodiazepines	23
seizure disorder	23
agitation	22
brain tumor	22
cerebrovascular disease	22
disease	22
huntington's disease	22
medical condition	22
nincds-adrda criteria	22
abnormalities	21
ct	21
surgically sterile	21
contraindications	20
psychosis	20
drug	19
cdr	18
cholinesterase inhibitor	18
investigational drug	18
post-menopausal	18
cardiovascular disease	17
childbearing potential	17
cognitive decline	17
condition	17
dsm-iv criteria	17
galantamine	17
medical history	17
medication	17
normal pressure hydrocephalus	17
postmenopausal	17
subdural hematoma	17
antipsychotics	16
infection	16
physical examination	16
ages	15
allergy	15
dsm-iv	15
neuroleptics	15
pregnancy	15
psychiatric disorder	15
rivastigmine	15
aged	14
angina	14
frontotemporal dementia	14
pacemakers	14
seizures	14
vital signs	14
body mass index	13
congestive heart failure	13
diabetes mellitus	13
abnormality	12
dementia of the alzheimer's type	12
liver disease	12
medical conditions	12
mild cognitive impairment	12
multi-infarct dementia	12
neurological disease	12
nincds-adrda	12
progressive supranuclear palsy	12
systemic illness	12
visual and auditory acuity	12
asthma	11
clinical dementia rating ( cdr )	11
drugs	11
general health	11
hypothyroidism	11
illness	11
lacunes	11
neurologic disease	11
psychiatric disease	11
psychiatric disorders	11
sedative hypnotics	11
systolic blood pressure	11
systolic bp	11
traumatic brain injury	11
warfarin	11
alzheimer's	10
aspirin	10
cognition	10
diastolic blood pressure	10
glaucoma	10
hiv	10
loss of consciousness	10
mental retardation	10
pacemaker	10
psychiatric illness	10
tacrine	10
alcohol or substance abuse or dependence	9
alcoholism	9
alzheimer's disease ( ad )	9
aneurysm clips	9
body mass index ( bmi )	9
clonidine	9
delirium	9
disorder	9
focal lesions	9
infarction	9
investigational drugs	9
lactating	9
major depressive disorder	9
medical or psychiatric illness	9
psychotropic medication	9
qtc	9
structural brain abnormalities	9
substance abuse	9
trauma	9
vitamin b12 deficiency	9
anti-parkinsonian medications	8
antidepressant	8
aricept	8
blood pressure	8
bmi	8
breastfeeding	8
chronic anxiolytics	8
creatinine clearance	8
diseases	8
down syndrome	8
geriatric depression scale	8
hallucinations	8
hypoxic brain damage	8
malignancy	8
metal implants	8
mini-mental state examination ( mmse )	8
modified hachinski ischemia score	8
neurodegenerative disorders	8
neurological disorder	8
pet	8
prostate cancer	8
renal failure	8
seizure	8
vitamin e	8
vitamins	8
aggression	7
aids	7
alcohol	7
alcohol or substance abuse	7
alt	7
alzheimer disease	7
anti-convulsants	7
anxiolytics	7
ast	7
brain surgery	7
cardiac disease	7
clinical dementia rating	7
clinical laboratory tests	7
delusions	7
estrogen replacement therapy	7
hba1c	7
head injury with loss of consciousness	7
infectious disease	7
investigational medications	7
lithium	7
lumbar puncture	7
major depressive episode	7
mini mental state examination ( mmse ) score	7
mixed dementia	7
neurodegenerative disease	7
nincds/adrda criteria	7
pregnancy test	7
psychoactive medication	7
surgery	7
syncope	7
systemic corticosteroids	7
thyroid disease	7
acetylcholinesterase inhibitors	6
achei	6
anticholinergic side effects	6
anticonvulsants	6
artificial heart valves	6
basal cell carcinoma	6
cardiac surgery	6
coagulopathy	6
contraindicated	6
coronary artery disease	6
dementia with lewy bodies	6
dementias	6
diastolic	6
diastolic bp	6
drug abuse	6
drug or alcohol abuse	6
encephalitis	6
evidence	6
excretion	6
exelon	6
ftd	6
head injury	6
heart disease	6
hepatic, renal, pulmonary, metabolic or endocrine disturbances	6
hepatitis	6
hypnotics	6
investigational agent	6
laboratory tests	6
magnetic resonance imaging	6
medical illness	6
memory box score	6
memory complaints	6
memory impairment	6
meningitis	6
metabolism	6
mini-mental state exam ( mmse ) score	6
mini-mental state examination ( mmse ) score	6
